time,angle
0.000,0.000
0.001,0.000
0.002,0.000
0.002,0.000
0.003,0.000
0.004,0.000
0.013,0.000
0.028,0.000
0.041,0.000
0.054,0.000
0.067,0.000
0.081,0.000
0.095,0.000
0.108,0.000
0.122,0.000
0.135,0.000
0.148,0.000
0.163,0.000
0.176,0.000
0.189,0.000
0.203,0.000
0.216,0.000
0.230,0.000
0.244,0.000
0.257,0.000
0.270,0.000
0.284,0.000
0.298,0.000
0.311,0.000
0.325,0.000
0.338,0.000
0.351,0.000
0.365,0.000
0.379,0.000
0.392,0.000
0.405,0.000
0.419,0.000
0.433,0.000
0.446,0.000
0.460,0.000
0.473,0.000
0.486,0.000
0.501,0.000
0.514,0.000
0.527,0.000
0.541,0.000
0.554,0.000
0.568,0.000
0.582,0.000
0.595,0.000
0.608,0.000
0.621,0.000
0.636,0.000
0.649,0.000
0.662,0.000
0.676,0.000
0.689,0.000
0.703,0.000
0.717,0.000
0.730,0.000
0.743,0.000
0.758,0.000
0.771,0.000
0.784,0.000
0.798,0.000
0.811,0.000
0.825,0.000
0.839,0.000
0.852,0.000
0.865,0.000
0.878,0.000
0.893,0.000
0.906,0.000
0.919,0.000
0.933,0.000
0.946,0.000
0.960,0.000
0.974,0.000
0.987,0.000
1.000,0.000
1.014,0.000
1.028,0.000
1.041,0.000
1.055,0.000
1.068,0.000
1.081,0.000
1.096,0.000
1.109,0.000
1.122,0.000
1.136,0.000
1.149,0.000
1.163,0.000
1.176,0.000
1.190,0.000
1.203,0.000
1.216,0.000
1.231,0.000
1.244,0.000
1.257,0.000
1.271,0.000
1.284,0.000
1.298,0.000
1.312,0.000
1.325,0.000
1.338,0.000
1.352,0.000
1.366,0.000
1.379,0.000
1.393,0.000
1.406,0.000
1.419,0.000
1.434,0.000
1.447,0.000
1.460,0.000
1.473,0.000
1.487,0.000
1.501,0.000
1.514,0.000
1.528,0.000
1.541,0.000
1.554,0.000
1.569,0.000
1.582,0.000
1.595,0.000
1.609,0.000
1.623,0.000
1.636,0.000
1.650,0.000
1.663,0.000
1.676,0.000
1.691,0.000
1.704,0.000
1.717,0.000
1.730,0.000
1.744,0.000
1.758,0.000
1.771,0.000
1.785,0.000
1.798,0.000
1.811,0.000
1.826,0.000
1.839,0.000
1.852,0.000
1.866,0.000
1.879,0.000
1.893,0.000
1.907,0.000
1.920,0.000
1.933,0.000
1.947,0.000
1.961,0.000
1.974,0.000
1.987,0.000
2.001,0.000
2.014,0.000
2.028,0.000
2.042,0.000
2.055,0.000
2.068,0.000
2.082,0.000
2.096,0.000
2.109,0.000
2.123,0.000
2.136,0.000
2.149,0.000
2.164,0.000
2.177,0.000
2.190,0.000
2.204,0.000
2.217,0.000
2.231,0.000
2.245,0.000
2.258,0.000
2.271,0.000
2.284,0.000
2.299,0.000
2.312,0.000
2.325,0.000
2.339,0.000
2.352,0.000
2.366,0.000
2.380,0.000
2.393,0.000
2.406,0.000
2.420,0.000
2.434,0.000
2.447,0.000
2.461,0.000
2.474,0.000
2.488,0.000
2.502,0.000
2.515,0.000
2.528,0.000
2.541,0.000
2.556,0.000
2.569,0.000
2.582,0.000
2.596,0.000
2.609,0.000
2.623,0.000
2.637,0.000
2.650,0.000
2.663,0.000
2.677,0.000
2.691,0.000
2.704,0.000
2.718,0.000
2.731,0.000
2.744,0.000
2.759,0.000
2.772,0.000
2.785,0.000
2.798,0.000
2.812,0.000
2.826,0.000
2.839,0.000
2.853,0.000
2.866,0.000
2.879,0.000
2.894,0.000
2.907,0.000
2.920,0.000
2.934,0.000
2.947,0.000
2.961,0.000
2.975,0.000
2.988,0.000
3.001,0.000
3.015,0.000
3.029,0.000
3.042,0.000
3.056,0.000
3.069,0.000
3.082,0.000
3.096,0.000
3.110,0.000
3.123,0.000
3.136,0.000
3.150,0.000
3.164,0.000
3.177,0.000
3.191,0.000
3.204,0.000
3.217,0.000
3.232,0.000
3.245,0.000
3.258,0.000
3.272,0.000
3.285,0.000
3.299,0.000
3.313,0.000
3.326,0.000
3.339,0.000
3.354,0.000
3.367,0.000
3.380,0.000
3.393,0.000
3.407,0.000
3.421,0.000
3.434,0.000
3.448,0.000
3.461,0.000
3.474,0.000
3.489,0.000
3.502,0.000
3.515,0.000
3.529,0.000
3.542,0.000
3.556,0.000
3.570,0.000
3.583,0.000
3.596,0.000
3.610,0.000
3.624,0.000
3.637,0.000
3.650,0.000
3.664,0.000
3.677,0.000
3.691,0.000
3.705,0.000
3.718,0.000
3.731,0.000
3.745,0.000
3.759,0.000
3.772,0.000
3.786,0.000
3.799,0.000
3.812,0.000
3.827,0.000
3.840,0.000
3.853,0.000
3.867,0.000
3.880,0.000
3.894,0.000
3.907,0.000
3.921,0.000
3.934,0.000
3.947,0.000
3.962,0.000
3.975,0.000
3.988,0.000
4.002,0.000
4.015,0.000
4.029,0.000
4.043,0.000
4.056,0.000
4.069,0.000
4.083,0.000
4.097,0.000
4.110,0.000
4.124,0.000
4.137,0.000
4.150,0.000
4.165,0.000
4.178,0.000
4.191,0.000
4.204,0.000
4.219,0.000
4.232,0.000
4.245,0.000
4.259,0.000
